placement,np,iterations,population,features,total_time,computation_time,trial,execution,gather_time,speedup,efficiency,reference_time
scatter,1,1000,128,100,213.2261209488,213.220208168,0,3,,0.9993813836702755,99.93813836702755,213.0883066654
scatter,1,1000,128,100,214.00797820100001,213.9704699517,1,1,0.0001161098,0.9958771727402425,99.58771727402424,213.0883066654
scatter,1,1000,128,100,214.17366743079998,214.1657099723,1,2,0.0001111031,0.9949693006082098,99.49693006082097,213.0883066654
scatter,1,1000,128,100,214.0254778862,213.995038271,1,3,0.0001103878,0.995762838181081,99.5762838181081,213.0883066654
scatter,1,1000,128,100,181.8545641899,181.8010792732,2,1,,1.1720959386890295,117.20959386890296,213.0883066654
scatter,1,1000,128,100,181.2958948612,181.2862248421,2,2,,1.1754247011928212,117.54247011928211,213.0883066654
scatter,1,1000,128,100,181.986130476,181.9729468822,2,3,,1.1709889316863265,117.09889316863264,213.0883066654
scatter,2,1000,128,100,179.4733867645,179.4444382191,0,1,,1.1874890566695702,59.37445283347851,213.0883066654
scatter,2,1000,128,100,179.5742332935,179.5680322647,0,2,,1.186671725350802,59.33358626754009,213.0883066654
scatter,2,1000,128,100,179.4418771267,179.4365131855,0,3,,1.1875415035796593,59.37707517898296,213.0883066654
scatter,2,1000,128,100,214.9488713742,214.9416329861,1,1,0.0002532005,0.9913775367993979,49.568876839969896,213.0883066654
scatter,2,1000,128,100,246.3917758465,246.3856437207,1,2,0.0001571178,0.8648568295113596,43.24284147556798,213.0883066654
scatter,2,1000,128,100,190.4452438354,190.4221570492,1,3,0.0002229214,1.1190310516771622,55.95155258385811,213.0883066654
scatter,2,1000,128,100,96.4339911938,96.385566473,2,1,,2.2107906241863646,110.53953120931823,213.0883066654
scatter,2,1000,128,100,96.3502218723,96.3420259953,2,2,,2.2117897611556914,110.58948805778456,213.0883066654
scatter,2,1000,128,100,96.3703651428,96.3634722233,2,3,,2.211297515012922,110.56487575064611,213.0883066654
scatter,4,1000,128,100,179.7479047775,179.7438745499,0,1,,1.185510811976199,29.637770299404977,213.0883066654
scatter,4,1000,128,100,196.1625936031,196.1292676926,0,2,,1.0864686804387629,27.16171701096907,213.0883066654
